app	action	shortcut	phrase
macOS	copy	Cmd+C	Copy that.
macOS	copy	Cmd+C	Copy the selected text.
macOS	copy	Cmd+C	Put this on the clipboard.
macOS	cut	Cmd+X	Cut that.
macOS	cut	Cmd+X	Cut the selection so I can move it.
macOS	paste	Cmd+V	Paste it here.
macOS	paste	Cmd+V	Paste what I just copied.
macOS	paste and match style	Opt+Shift+Cmd+V	Paste without the formatting.
macOS	paste and match style	Opt+Shift+Cmd+V	Paste and match the surrounding style.
macOS	undo	Cmd+Z	Undo that.
macOS	undo	Cmd+Z	Take back the last change.
macOS	undo	Cmd+Z	Oops, undo.
macOS	redo	Shift+Cmd+Z	Redo that.
macOS	redo	Shift+Cmd+Z	Bring back what I just undid.
macOS	select all	Cmd+A	Select everything.
macOS	select all	Cmd+A	Highlight all of it.
macOS	save	Cmd+S	Save this.
macOS	save	Cmd+S	Save my work.
macOS	save as	Shift+Cmd+S	Save this as a new file.
macOS	save as	Shift+Cmd+S	Save a copy under a different name.
macOS	print	Cmd+P	Print this.
macOS	print	Cmd+P	Send this to the printer.
macOS	find	Cmd+F	Find something on this page.
macOS	find	Cmd+F	Search inside this document.
macOS	find next	Cmd+G	Go to the next match.
macOS	find next	Cmd+G	Find the next one.
macOS	find previous	Shift+Cmd+G	Go back to the previous match.
macOS	new document	Cmd+N	Make a new one.
macOS	new document	Cmd+N	Start a new document.
macOS	open file	Cmd+O	Open a file.
macOS	open file	Cmd+O	Show me the open dialog.
macOS	close window	Cmd+W	Close this window.
macOS	close window	Cmd+W	Get rid of this window.
macOS	quit app	Cmd+Q	Quit this app.
macOS	quit app	Cmd+Q	Close the whole application.
macOS	hide app	Cmd+H	Hide this app.
macOS	hide others	Opt+Cmd+H	Hide everything else.
macOS	hide others	Opt+Cmd+H	Hide all the other apps.
macOS	minimize	Cmd+M	Minimize this window.
macOS	minimize	Cmd+M	Send this window to the dock.
macOS	switch app	Cmd+Tab	Switch to the last app.
macOS	switch app	Cmd+Tab	Flip back to the other application.
macOS	switch window	Cmd+`	Switch to the app's other window.
macOS	switch window	Cmd+`	Cycle through this app's windows.
macOS	spotlight	Cmd+Space	Open Spotlight.
macOS	spotlight	Cmd+Space	Search my computer.
macOS	force quit	Opt+Cmd+Esc	Force quit an app.
macOS	force quit	Opt+Cmd+Esc	Something is frozen, bring up force quit.
macOS	screenshot full screen	Shift+Cmd+3	Take a screenshot.
macOS	screenshot full screen	Shift+Cmd+3	Capture the whole screen.
macOS	screenshot selection	Shift+Cmd+4	Screenshot just part of the screen.
